Page ID,Page Name,Disclaimer,Amount Spent (GBP),Number of Ads in Library
1532786470379794,Paul Sweeney for Glasgow North East,Paul Sweeney,986,12
2304286376467321,Ashley Cartman for North Somerset,North Somerset Liberal Democrats,925,16
1858078747757980,Kensington & Chelsea Liberal Democrats,"Adrian Smith on behalf of Kensington Liberal Democrats, London, W10 6BT",911,3
678120165658753,InFacts,InFacts,882,3
419807964889685,Paul Williams MP,Paul Williams MP,861,4
18044497940,Plan International UK,Plan International UK,842,5
871798409656672,Stop School Cuts,National Education Union,824,14
304300223676306,Felicity Buchan,"Kensington, Chelsea & Fulham Conservatives",810,3
129621013755944,Guildford Liberal Democrats,Guildford Liberal Democrats,811,8
1494298680896162,Teemill,Teemill,790,6
143740702357483,OVO Energy,OVO Energy,860,62
308796222866996,Express energy services limited,Stephen Paul Atkinson,766,2
100265704688016,Yes I Will Vote,Inspire EU,756,8
330250343871,Jeremy Corbyn,The Labour Party on behalf of Jeremy Corbyn,736,3
126832277372980,Brighton Kemptown & Peacehaven Conservatives,Brighton Kemptown Conservative Association,758,82
241312696375349,National Education Union,National Education Union,723,4
101406954637356,Dr Phillip Lee,Stephen Newton for the Lib Dems,719,12
360322167647280,Mayor of London,The Greater London Authority,717,15
39605200520,ActionAid UK,ActionAid UK,732,26
10642639740,Alliance Party of Northern Ireland,Alliance Party of Northern Ireland,683,8
32514078659,Liberty,Liberty,700,18
37981137361,The Children's Society,The Children's Society,710,25
217840195679013,Faiza Shaheen for Chingford & Woodford Green Labour,Faiza Shaheen,671,10
1405406096341441,Marcus Fysh,Marcus John H Fysh,666,1
242351902481164,The Radical Tea Towel Company,The Radical Tea Towel Company,662,7
123679177651052,Ed Miliband,Doncaster North Labour Party,658,15
177855115588808,The Week UK,The Week UK,692,29
503548642999414,Cambridge Liberal Democrats,Cambridge Lib Dems,638,2
290498754454402,European Movement UK,European Movement UK,618,20
108283675982010,Vote Anna Turley for Redcar,Redcar Constituency Labour Party,587,3
1675580096042114,Jolie Beauty,Jolie Beauty,595,7
642444842524195,Scientists for EU,Scientists for EU,576,2
1670879486473010,Annabel Tall,The Conservative Party,544,1
706643619514643,"Stuart Brady for Loughborough, Shepshed, Barrow, Sileby & surrounding areas",Christopher Hughes,534,9
126893234027640,London Liberal Democrats,"Nick Harvey on behalf of the Liberal Democrats, London, SW1P 3AE. Hosted by NationBuilder.",531,4
362064683886345,Labour Unions,Labour Unions,511,30
1865376160342834,Lloyd Russell-Moyle,Lloyd Cameron Russell Moyle,500,22
103625387723838,Fair Tax Campaign,These ads ran without a disclaimer,484,1
117476785190,Save the Children UK,Save the Children UK,484,1
692663397738642,Sandy Martin,The Labour Party. Promoted by John Cook on behalf of Sandy Martin.,457,13
914835805358773,Simon Hart,Simon Hart MP,439,3
191335640943251,Clive Lewis,Clive Lewis,430,2
491862484305741,Southwark Liberal Democrats,Southwark Liberal Democrats,429,7
122063008481777,Charlotte Holloway for Plymouth Moor View,Charlotte Holloway for Plymouth Moor View,416,1
522227361320181,Craig Fletcher,Liberal Democrats,414,1
617286011771768,John Hunt,John Hunt,410,5
150773485577984,OMG Liverpool,OMG LIverpool,403,1
342002108699,Ipswich Labour,Ipswich Labour Party,398,5
1545511665561177,EcoVibe,These ads ran without a disclaimer,421,22
112592496819806,Nicola Horlick,The Liberal Democrats,393,17
113561800022187,AdvanceTogether,AdvanceTogether,398,103
100882784659601,Black Country for Europe,Michael John Galsworthy,355,2
1704974266397645,Jonathan Ashworth,Jonathan Michael Graham Ashworth,344,8
1423467151217002,Paula Sherriff,Dewsbury Constituency Labour Party,339,4
101447691250941,Marco Longhi for Dudley North,Marco Longhi & Dudley North Conservatives,337,5
379973742136545,Karl McCartney,Karl McCartney,336,14
168033940480199,Inspire EU,Inspire EU,331,2
1544601488897440,Eddie Hughes for Walsall North,Eddie Hughes and Walsall Conservatives,330,10
106324210812015,Best for Brexit,Jamie Betts,328,2
648898641953269,Essex for Europe,Michael John Galsworthy,321,1
1299537773487243,Campaign Together,Unlock Democracy,321,3
100854403381908,Pay Justice,Pay Justice,315,1
921358981268483,Stirling & Clackmannanshire Conservative & Unionist Association,Neil Collington Benny,314,2
112846662487263,Labour Future,Labour Future,336,14
2449574395105133,DavidCampanale4MP,Anthony Rossano Campanale,307,4
105860880805461,David Chadwick for North Dorset,North Dorset Liberal Democrats,307,7
740329079472228,Ellie Reeves,The Labour Party,300,2
1486841851361953,Power for People,Power for People,301,4
660119217766656,James Wells MEP,James Freeman Wells,293,3
157611834294301,Yvette Cooper,Yvette Cooper,292,4
103625387723838,Fair Tax Campaign,Alexander Karczewski Crowley,299,7
6233536938,War Child UK,War Child UK,296,8
273467342787874,Michelle Donelan,Michelle Donelan,280,2
151485578929644,Cardiff for Europe - Caerdydd Dros Ewrop,Michael John Galsworthy,280,1
1420752397985655,Glasgow Loves EU,Michael John Galsworthy,280,1
391250761354762,Susținători USR Marea Britanie,USR Diaspora,291,13
103411667669437,Yorkshire for Europe,Michael John Galsworthy,275,1
191265221762773,Rugby4Europe,Michael John Galsworthy,274,1
102502997798194,Edinburgh4Europe,Michael John Galsworthy,271,1
282449775215994,Eastleigh Lib Dems,Eastleigh Liberal Democrats,280,14
305261259970258,Sussex for Europe,Michael John Galsworthy,268,1
